dep,wave,wave_label,wave_cluster
01,1,Vague 1 — printemps 2020,0
02,1,Vague 1 — printemps 2020,0
03,1,Vague 1 — printemps 2020,0
04,1,Vague 1 — printemps 2020,0
05,1,Vague 1 — printemps 2020,0
06,1,Vague 1 — printemps 2020,0
07,1,Vague 1 — printemps 2020,0
08,1,Vague 1 — printemps 2020,0
09,1,Vague 1 — printemps 2020,0
10,1,Vague 1 — printemps 2020,0
11,1,Vague 1 — printemps 2020,0
12,1,Vague 1 — printemps 2020,0
13,1,Vague 1 — printemps 2020,0
14,1,Vague 1 — printemps 2020,0
15,1,Vague 1 — printemps 2020,0
16,1,Vague 1 — printemps 2020,0
17,1,Vague 1 — printemps 2020,0
18,1,Vague 1 — printemps 2020,0
19,1,Vague 1 — printemps 2020,0
21,1,Vague 1 — printemps 2020,0
22,1,Vague 1 — printemps 2020,0
23,1,Vague 1 — printemps 2020,0
24,1,Vague 1 — printemps 2020,0
25,1,Vague 1 — printemps 2020,0
26,1,Vague 1 — printemps 2020,0
27,1,Vague 1 — printemps 2020,0
28,1,Vague 1 — printemps 2020,0
29,1,Vague 1 — printemps 2020,0
2A,1,Vague 1 — printemps 2020,0
2B,1,Vague 1 — printemps 2020,0
30,1,Vague 1 — printemps 2020,0
31,1,Vague 1 — printemps 2020,0
32,1,Vague 1 — printemps 2020,0
33,1,Vague 1 — printemps 2020,0
34,1,Vague 1 — printemps 2020,0
35,1,Vague 1 — printemps 2020,0
36,1,Vague 1 — printemps 2020,0
37,1,Vague 1 — printemps 2020,0
38,1,Vague 1 — printemps 2020,0
39,1,Vague 1 — printemps 2020,0
40,1,Vague 1 — printemps 2020,0
41,1,Vague 1 — printemps 2020,0
42,1,Vague 1 — printemps 2020,0
43,1,Vague 1 — printemps 2020,0
44,1,Vague 1 — printemps 2020,0
45,1,Vague 1 — printemps 2020,0
46,1,Vague 1 — printemps 2020,0
47,1,Vague 1 — printemps 2020,0
48,1,Vague 1 — printemps 2020,0
49,1,Vague 1 — printemps 2020,0
50,1,Vague 1 — printemps 2020,0
51,1,Vague 1 — printemps 2020,0
52,1,Vague 1 — printemps 2020,0
53,1,Vague 1 — printemps 2020,0
54,1,Vague 1 — printemps 2020,0
55,1,Vague 1 — printemps 2020,0
56,1,Vague 1 — printemps 2020,0
57,1,Vague 1 — printemps 2020,0
58,1,Vague 1 — printemps 2020,0
59,1,Vague 1 — printemps 2020,0
60,1,Vague 1 — printemps 2020,0
61,1,Vague 1 — printemps 2020,0
62,1,Vague 1 — printemps 2020,0
63,1,Vague 1 — printemps 2020,0
64,1,Vague 1 — printemps 2020,0
65,1,Vague 1 — printemps 2020,0
66,1,Vague 1 — printemps 2020,0
67,1,Vague 1 — printemps 2020,0
68,1,Vague 1 — printemps 2020,0
69,1,Vague 1 — printemps 2020,0
70,1,Vague 1 — printemps 2020,0
71,1,Vague 1 — printemps 2020,0
72,1,Vague 1 — printemps 2020,0
73,1,Vague 1 — printemps 2020,0
74,1,Vague 1 — printemps 2020,0
75,1,Vague 1 — printemps 2020,0
76,1,Vague 1 — printemps 2020,0
77,1,Vague 1 — printemps 2020,0
78,1,Vague 1 — printemps 2020,0
79,1,Vague 1 — printemps 2020,0
80,1,Vague 1 — printemps 2020,0
81,1,Vague 1 — printemps 2020,0
82,1,Vague 1 — printemps 2020,0
83,1,Vague 1 — printemps 2020,0
84,1,Vague 1 — printemps 2020,0
85,1,Vague 1 — printemps 2020,0
86,1,Vague 1 — printemps 2020,0
87,1,Vague 1 — printemps 2020,0
88,1,Vague 1 — printemps 2020,0
89,1,Vague 1 — printemps 2020,0
90,1,Vague 1 — printemps 2020,0
91,1,Vague 1 — printemps 2020,0
92,1,Vague 1 — printemps 2020,0
93,1,Vague 1 — printemps 2020,0
94,1,Vague 1 — printemps 2020,0
95,1,Vague 1 — printemps 2020,0
971,1,Vague 1 — printemps 2020,0
972,1,Vague 1 — printemps 2020,0
973,1,Vague 1 — printemps 2020,1
974,1,Vague 1 — printemps 2020,0
976,1,Vague 1 — printemps 2020,1
01,2,Vague 2 — automne/hiver 2020,1
02,2,Vague 2 — automne/hiver 2020,1
03,2,Vague 2 — automne/hiver 2020,1
04,2,Vague 2 — automne/hiver 2020,1
05,2,Vague 2 — automne/hiver 2020,1
06,2,Vague 2 — automne/hiver 2020,0
07,2,Vague 2 — automne/hiver 2020,1
08,2,Vague 2 — automne/hiver 2020,1
09,2,Vague 2 — automne/hiver 2020,1
10,2,Vague 2 — automne/hiver 2020,1
11,2,Vague 2 — automne/hiver 2020,1
12,2,Vague 2 — automne/hiver 2020,1
13,2,Vague 2 — automne/hiver 2020,0
14,2,Vague 2 — automne/hiver 2020,1
15,2,Vague 2 — automne/hiver 2020,1
16,2,Vague 2 — automne/hiver 2020,1
17,2,Vague 2 — automne/hiver 2020,1
18,2,Vague 2 — automne/hiver 2020,1
19,2,Vague 2 — automne/hiver 2020,1
21,2,Vague 2 — automne/hiver 2020,1
22,2,Vague 2 — automne/hiver 2020,1
23,2,Vague 2 — automne/hiver 2020,1
24,2,Vague 2 — automne/hiver 2020,1
25,2,Vague 2 — automne/hiver 2020,0
26,2,Vague 2 — automne/hiver 2020,1
27,2,Vague 2 — automne/hiver 2020,1
28,2,Vague 2 — automne/hiver 2020,1
29,2,Vague 2 — automne/hiver 2020,1
2A,2,Vague 2 — automne/hiver 2020,1
2B,2,Vague 2 — automne/hiver 2020,1
30,2,Vague 2 — automne/hiver 2020,0
31,2,Vague 2 — automne/hiver 2020,0
32,2,Vague 2 — automne/hiver 2020,1
33,2,Vague 2 — automne/hiver 2020,0
34,2,Vague 2 — automne/hiver 2020,0
35,2,Vague 2 — automne/hiver 2020,1
36,2,Vague 2 — automne/hiver 2020,1
37,2,Vague 2 — automne/hiver 2020,1
38,2,Vague 2 — automne/hiver 2020,0
39,2,Vague 2 — automne/hiver 2020,1
40,2,Vague 2 — automne/hiver 2020,1
41,2,Vague 2 — automne/hiver 2020,1
42,2,Vague 2 — automne/hiver 2020,1
43,2,Vague 2 — automne/hiver 2020,1
44,2,Vague 2 — automne/hiver 2020,1
45,2,Vague 2 — automne/hiver 2020,0
46,2,Vague 2 — automne/hiver 2020,1
47,2,Vague 2 — automne/hiver 2020,1
48,2,Vague 2 — automne/hiver 2020,1
49,2,Vague 2 — automne/hiver 2020,1
50,2,Vague 2 — automne/hiver 2020,1
51,2,Vague 2 — automne/hiver 2020,1
52,2,Vague 2 — automne/hiver 2020,1
53,2,Vague 2 — automne/hiver 2020,1
54,2,Vague 2 — automne/hiver 2020,1
55,2,Vague 2 — automne/hiver 2020,1
56,2,Vague 2 — automne/hiver 2020,1
57,2,Vague 2 — automne/hiver 2020,1
58,2,Vague 2 — automne/hiver 2020,1
59,2,Vague 2 — automne/hiver 2020,0
60,2,Vague 2 — automne/hiver 2020,1
61,2,Vague 2 — automne/hiver 2020,1
62,2,Vague 2 — automne/hiver 2020,0
63,2,Vague 2 — automne/hiver 2020,1
64,2,Vague 2 — automne/hiver 2020,1
65,2,Vague 2 — automne/hiver 2020,1
66,2,Vague 2 — automne/hiver 2020,1
67,2,Vague 2 — automne/hiver 2020,1
68,2,Vague 2 — automne/hiver 2020,1
69,2,Vague 2 — automne/hiver 2020,0
70,2,Vague 2 — automne/hiver 2020,1
71,2,Vague 2 — automne/hiver 2020,1
72,2,Vague 2 — automne/hiver 2020,1
73,2,Vague 2 — automne/hiver 2020,1
74,2,Vague 2 — automne/hiver 2020,1
75,2,Vague 2 — automne/hiver 2020,0
76,2,Vague 2 — automne/hiver 2020,1
77,2,Vague 2 — automne/hiver 2020,0
78,2,Vague 2 — automne/hiver 2020,0
79,2,Vague 2 — automne/hiver 2020,1
80,2,Vague 2 — automne/hiver 2020,1
81,2,Vague 2 — automne/hiver 2020,1
82,2,Vague 2 — automne/hiver 2020,1
83,2,Vague 2 — automne/hiver 2020,0
84,2,Vague 2 — automne/hiver 2020,1
85,2,Vague 2 — automne/hiver 2020,1
86,2,Vague 2 — automne/hiver 2020,1
87,2,Vague 2 — automne/hiver 2020,1
88,2,Vague 2 — automne/hiver 2020,1
89,2,Vague 2 — automne/hiver 2020,1
90,2,Vague 2 — automne/hiver 2020,1
91,2,Vague 2 — automne/hiver 2020,0
92,2,Vague 2 — automne/hiver 2020,0
93,2,Vague 2 — automne/hiver 2020,0
94,2,Vague 2 — automne/hiver 2020,0
95,2,Vague 2 — automne/hiver 2020,0
971,2,Vague 2 — automne/hiver 2020,0
972,2,Vague 2 — automne/hiver 2020,0
973,2,Vague 2 — automne/hiver 2020,0
974,2,Vague 2 — automne/hiver 2020,0
976,2,Vague 2 — automne/hiver 2020,0
01,3,Vague 3 — printemps 2021 (Alpha),0
02,3,Vague 3 — printemps 2021 (Alpha),0
03,3,Vague 3 — printemps 2021 (Alpha),0
04,3,Vague 3 — printemps 2021 (Alpha),0
05,3,Vague 3 — printemps 2021 (Alpha),0
06,3,Vague 3 — printemps 2021 (Alpha),0
07,3,Vague 3 — printemps 2021 (Alpha),0
08,3,Vague 3 — printemps 2021 (Alpha),0
09,3,Vague 3 — printemps 2021 (Alpha),0
10,3,Vague 3 — printemps 2021 (Alpha),0
11,3,Vague 3 — printemps 2021 (Alpha),0
