dep,semaine_glissante,pop,P,T,tx_pos
01,2020-05-13-2020-05-19,656955,43,2597,1.66
01,2020-05-14-2020-05-20,656955,45,2761,1.63
01,2020-05-15-2020-05-21,656955,37,2372,1.56
01,2020-05-16-2020-05-22,656955,39,2304,1.69
01,2020-05-17-2020-05-23,656955,41,2307,1.78
01,2020-05-18-2020-05-24,656955,41,2325,1.76
01,2020-05-19-2020-05-25,656955,33,2151,1.53
01,2020-05-20-2020-05-26,656955,26,2033,1.28
01,2020-05-21-2020-05-27,656955,19,1885,1.01
01,2020-05-22-2020-05-28,656955,19,2201,0.86
01,2020-05-23-2020-05-29,656955,18,2157,0.83
01,2020-05-24-2020-05-30,656955,18,2195,0.82
01,2020-05-25-2020-05-31,656955,19,2187,0.87
01,2020-05-26-2020-06-01,656955,20,1859,1.08
01,2020-05-27-2020-06-02,656955,21,1758,1.19
01,2020-05-28-2020-06-03,656955,19,1698,1.12
01,2020-05-29-2020-06-04,656955,18,1688,1.07
01,2020-05-30-2020-06-05,656955,17,1684,1.01
01,2020-05-31-2020-06-06,656955,18,1661,1.08
01,2020-06-01-2020-06-07,656955,18,1670,1.08
01,2020-06-02-2020-06-08,656955,14,1924,0.73
01,2020-06-03-2020-06-09,656955,12,1783,0.67
01,2020-06-04-2020-06-10,656955,11,1802,0.61
01,2020-06-05-2020-06-11,656955,19,1699,1.12
01,2020-06-06-2020-06-12,656955,18,1693,1.06
01,2020-06-07-2020-06-13,656955,15,1676,0.89
01,2020-06-08-2020-06-14,656955,15,1680,0.89
01,2020-06-09-2020-06-15,656955,15,1683,0.89
01,2020-06-10-2020-06-16,656955,17,1701,1.0
01,2020-06-11-2020-06-17,656955,21,1697,1.24
01,2020-06-12-2020-06-18,656955,17,1715,0.99
01,2020-06-13-2020-06-19,656955,16,1690,0.95
01,2020-06-14-2020-06-20,656955,19,1727,1.1
01,2020-06-15-2020-06-21,656955,18,1710,1.05
01,2020-06-16-2020-06-22,656955,23,1844,1.25
01,2020-06-17-2020-06-23,656955,30,1933,1.55
01,2020-06-18-2020-06-24,656955,27,1950,1.38
01,2020-06-19-2020-06-25,656955,28,2005,1.4
01,2020-06-20-2020-06-26,656955,33,2157,1.53
01,2020-06-21-2020-06-27,656955,36,2215,1.63
01,2020-06-22-2020-06-28,656955,36,2237,1.61
01,2020-06-23-2020-06-29,656955,37,2355,1.57
01,2020-06-24-2020-06-30,656955,35,2525,1.39
