date,vac_statut,nb_pcr,nb_pcr_sympt,nb_pcr0,nb_pcr_sympt0,hc,hc_pcr,sc,sc_pcr,dc,dc_pcr,pourcent_parmi_vaccines
2021-06-06,Complet de moins de 3 mois - sans rappel,6371.83,340.08,76.82,13.63,19.45,10.03,6.41,6.0,2.18,2.13,34.79
2021-06-11,Non-vaccinés,125236.69,9815.75,3416.65,945.67,178.57,127.89,37.68,27.69,19.35,13.91,
2021-06-11,Primo dose efficace,48074.46,1856.74,234.53,53.23,13.64,9.1,4.88,3.25,10.62,8.72,41.4
2021-06-15,Complet - avec 1 rappel de moins de 3 mois,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-17,Non-vaccinés,101864.55,7274.41,2016.73,599.53,108.03,69.85,35.01,23.51,23.0,16.47,
2021-06-18,Non-vaccinés,124889.31,6758.43,2122.77,526.45,105.37,66.44,21.92,14.41,10.61,8.18,
2021-06-18,Primo dose récente,16517.49,580.73,134.01,39.73,4.97,2.54,3.84,1.28,0.0,0.0,12.9
2021-06-21,Non-vaccinés,101063.86,7534.44,2134.51,693.89,89.15,64.99,28.67,20.16,14.88,9.86,
2021-06-21,Primo dose récente,12081.32,656.01,132.65,53.41,3.16,2.69,0.42,0.08,0.0,0.0,11.82
2021-06-21,Complet entre 3 mois et 6 mois - sans rappel,9504.29,378.45,40.41,6.86,5.65,3.93,1.79,0.06,3.82,2.37,7.47
2021-06-21,Complet - avec 1 rappel de moins de 3 mois,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-24,Complet entre 3 mois et 6 mois - sans rappel,6281.59,324.63,38.83,4.38,7.2,5.99,1.21,1.21,4.38,4.19,7.71
2021-06-28,Primo dose récente,9912.45,534.25,114.43,50.89,2.61,2.06,1.22,0.0,0.0,0.0,8.59
2021-06-28,Complet - avec 1 rappel de moins de 3 mois,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-29,Complet de moins de 3 mois - sans rappel,43631.23,2082.72,240.0,76.8,16.89,8.28,3.7,2.34,2.68,1.17,46.35
2021-06-30,Complet entre 3 mois et 6 mois - sans rappel,7500.15,387.08,53.4,10.59,4.51,3.31,1.13,1.0,1.18,1.18,8.26
2021-06-30,Complet de 6 mois ou plus - sans rappel,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-02,Primo dose récente,12195.75,383.42,123.5,47.27,2.79,2.31,0.01,0.01,0.0,0.0,7.24
2021-07-03,Complet entre 3 mois et 6 mois - sans rappel,6063.11,272.69,31.66,6.06,1.96,0.7,0.59,0.0,0.17,0.17,8.91
2021-07-04,Complet de moins de 3 mois - sans rappel,10995.36,474.54,80.38,20.43,11.22,7.56,0.76,0.42,1.0,1.0,50.66
2021-07-09,Non-vaccinés,131999.14,7626.74,3033.36,1050.47,69.13,54.7,23.37,17.86,5.8,2.31,
2021-07-10,Complet entre 3 mois et 6 mois - sans rappel,6629.42,341.98,39.96,10.32,7.14,4.94,0.34,0.34,0.74,0.27,10.25
2021-07-10,Complet de 6 mois ou plus - sans rappel,1.12,0.08,0.09,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
