dep,nb_centres_vac
01,22
02,30
03,8
04,16
05,12
06,54
07,32
08,26
09,1
10,9
11,19
12,8
13,67
14,23
15,9
16,22
17,27
18,46
19,21
21,36
22,24
23,11
24,32
25,25
26,30
27,30
28,36
29,28
2A,15
2B,16
30,40
31,56
32,24
33,43
34,36
35,41
36,19
37,20
38,35
39,22
40,29
41,50
42,31
43,9
44,26
45,56
46,35
47,12
48,9
49,13
50,13
51,31
52,6
53,10
54,42
55,28
56,20
57,38
58,17
59,86
60,35
61,12
62,51
63,23
64,39
65,9
66,16
67,34
68,21
69,62
70,14
71,24
72,24
73,38
74,36
75,76
76,34
77,70
78,37
79,29
80,25
81,16
82,10
83,69
84,26
85,15
86,26
87,18
88,9
89,26
90,5
91,64
92,48
93,64
94,51
95,70
971,30
972,13
973,9
974,62
976,5
977,2
978,2
NAN,230
