model,train_r2,test_r2,test_mae,test_rmse,test_mape,overfit_gap
HistGradientBoosting,0.9940178012998575,0.9578798056919358,1.6895568978983455,2.4971472941734834,8.725383673231958,0.03613799560792175
WeightedVoting,0.9924540493208038,0.9376996391014902,2.1283339755594173,3.0369962677307956,10.643428800690351,0.0547544102193136
ManualStack,0.9910873592009478,0.9203976928076878,2.3953509960874078,3.4329051541751316,12.511389237837312,0.07068966639326002
ExtraTrees,0.9874825619300455,0.9174014051632874,2.4964673386398384,3.496916856539333,12.651877920234227,0.07008115676675808
Random Forest,0.9915919505876193,0.9173477785229229,2.451453182686007,3.498051848454492,11.812866549118157,0.07424417206469636
Lasso,0.9587902313394697,0.9106960566747921,2.682420676815577,3.6360872432740643,15.172399807363787,0.04809417466467758
SVR,0.9772389130930421,0.8759090125980395,2.838572515643265,4.286167087321304,18.23183899605286,0.10132990049500257
ElasticNet,0.9460783300370275,0.8731792449960492,3.3556594007647558,4.333054426416589,20.49269847673475,0.0728990850409783
Ridge,0.9635264369161091,0.7896803658241156,4.179039193627172,5.580060219222792,21.249944590179467,0.17384607109199346
Baseline (Median),-0.043150771345682015,-0.03610892888419248,9.565299767499793,12.385161815354868,60.92892992576149,-0.007041842461489534
