dep,hosp_rate_mean,hosp_rate_max,new_hosp_rate_mean,new_hosp_rate_max,rea_rate_mean,rea_rate_max,icu_pressure_mean,icu_pressure_max,cfr_mean,cfr_max,tx_pos_mean,tx_pos_max,tx_pos_7j_mean,couv_complet_max,couv_complet_lag14_mean,population,is_dom
01,20.660834973821988,70.4127,0.3095681341719077,6.3729,1.3712541361256545,6.062,6.5523345549738226,31.4286,17.712704702194358,100.0,12.240122358175752,46.29,12.25428963398485,73.4,53.46342141863699,643350,0
02,30.950029109947643,65.6221,0.4870749475890986,7.5864,3.3842805235602094,11.9485,10.992442617801046,36.5385,20.815837240663903,100.0,11.425317018909901,46.67,11.43602616664018,79.2,57.39596662030598,527261,0
03,25.33068157068063,83.4349,0.5721967505241089,8.8761,2.1714560209424083,8.5802,10.426822955974842,46.1538,18.570571099476442,24.3199,10.758218262806235,53.09,10.750749510037608,81.8,60.65952712100139,337988,0
04,46.28628020942408,117.1339,0.7398888888888889,12.8115,2.1470742408376964,9.1511,5.155479371727749,33.3333,14.746557277486911,20.0209,10.758301675977654,51.85,10.694421950315165,71.8,52.105980528511814,163915,0
05,44.51766314136126,135.1887,0.9096015723270441,31.1429,3.828023664921466,17.6949,11.133153403141362,57.1429,14.66802115183246,20.4957,12.50459308807135,83.33,12.489196143863552,77.4,56.33783031988874,141284,0
06,31.64796387434555,69.6483,0.35075073375262056,3.0163,3.849115916230366,12.4307,11.874315811518326,35.6164,18.12044659685864,23.8307,8.905706340378197,31.07,8.901266989777001,77.4,56.68956884561892,1094068,0
07,21.374164816753925,77.98,0.4888492662473794,8.4629,1.7751762303664922,7.8585,9.859675287958115,100.0,18.431821720881427,75.0,11.161679644048943,48.89,11.147105964298957,75.7,55.47121001390821,330854,0
08,27.746965340314137,82.6223,0.46100932914046117,12.4299,1.9067884816753926,6.5805,11.054236947368421,100.0,22.31073078534031,29.7101,9.023482642777156,50.0,9.012935854653318,79.6,58.31974965229485,273534,0
09,18.689727015706804,62.9229,0.508620964360587,7.7843,3.086544188481675,11.6764,22.027097801047123,100.0,14.286212041884816,20.0,10.237091319052986,100.0,10.18479262672811,74.4,54.42350486787205,154157,0
10,21.138310785340316,88.3814,0.49128081761006287,15.8054,2.1316006282722513,8.7091,10.272399371727749,36.3636,18.303047894736842,100.0,11.041423804226918,49.35,11.068101117643941,75.9,55.72392211404729,310020,0
11,23.060632356020943,52.3956,0.43201729559748425,5.6717,1.8283451308900525,5.9418,9.42026942408377,87.5,20.697043246073296,48.0,9.264532293986637,100.0,9.267041209809841,76.0,55.53532684283728,370260,0
