dep,sexe,jour,hosp,rea,HospConv,SSR_USLD,autres,rad,dc,population,hosp_rate_100k,rea_rate_100k,dc_rate_100k,rad_rate_100k
01,0,2023-03-31,39,1,20.0,17.0,1.0,4840,841,643350.0,6.06,0.16,130.72,752.31
02,0,2023-03-31,85,3,38.0,40.0,4.0,8723,1642,527261.0,16.12,0.57,311.42,1654.4
03,0,2023-03-31,22,0,18.0,4.0,0.0,6150,939,337988.0,6.51,0.0,277.82,1819.59
04,0,2023-03-31,34,0,12.0,22.0,0.0,2685,394,163915.0,20.74,0.0,240.37,1638.04
05,0,2023-03-31,14,1,10.0,3.0,0.0,3111,412,141284.0,9.91,0.71,291.61,2201.95
06,0,2023-03-31,224,10,143.0,70.0,1.0,14225,2660,1094068.0,20.47,0.91,243.13,1300.19
07,0,2023-03-31,13,0,13.0,0.0,0.0,4344,675,330854.0,3.93,0.0,204.02,1312.97
08,0,2023-03-31,163,3,78.0,74.0,8.0,2604,555,273534.0,59.59,1.1,202.9,951.98
09,0,2023-03-31,8,0,5.0,3.0,0.0,1487,254,154157.0,5.19,0.0,164.77,964.6
10,0,2023-03-31,22,3,13.0,4.0,2.0,3657,629,310020.0,7.1,0.97,202.89,1179.6
11,0,2023-03-31,42,0,25.0,17.0,0.0,3721,685,370260.0,11.34,0.0,185.01,1004.97
12,0,2023-03-31,75,1,28.0,46.0,0.0,2849,447,279206.0,26.86,0.36,160.1,1020.39
13,0,2023-03-31,416,28,212.0,172.0,4.0,48210,6230,2043110.0,20.36,1.37,304.93,2359.64
14,0,2023-03-31,86,1,67.0,18.0,0.0,7467,1021,694002.0,12.39,0.14,147.12,1075.93
15,0,2023-03-31,40,1,27.0,12.0,0.0,1814,260,144692.0,27.64,0.69,179.69,1253.7
16,0,2023-03-31,39,2,26.0,11.0,0.0,2489,375,352335.0,11.07,0.57,106.43,706.43
17,0,2023-03-31,56,1,31.0,21.0,3.0,5533,873,644391.0,8.69,0.16,135.48,858.64
18,0,2023-03-31,102,0,60.0,42.0,0.0,4013,793,304256.0,33.52,0.0,260.64,1318.96
19,0,2023-03-31,13,3,8.0,2.0,0.0,3554,430,241464.0,5.38,1.24,178.08,1471.86
21,0,2023-03-31,73,2,20.0,51.0,0.0,8134,1383,534670.0,13.65,0.37,258.66,1521.31
22,0,2023-03-31,103,1,36.0,9.0,57.0,5593,557,598814.0,17.2,0.17,93.02,934.01
23,0,2023-03-31,25,2,17.0,6.0,0.0,1237,186,111664.0,22.39,1.79,166.57,1107.79
24,0,2023-03-31,115,0,76.0,39.0,0.0,3834,567,415574.0,27.67,0.0,136.44,922.58
25,0,2023-03-31,60,11,49.0,0.0,0.0,5444,784,542085.0,11.07,2.03,144.63,1004.27
26,0,2023-03-31,24,2,20.0,1.0,1.0,6542,1264,518361.0,4.63,0.39,243.85,1262.05
27,0,2023-03-31,102,6,65.0,31.0,0.0,4402,798,601843.0,16.95,1.0,132.59,731.42
28,0,2023-03-31,94,5,39.0,50.0,0.0,6631,826,433233.0,21.7,1.15,190.66,1530.59
29,0,2023-03-31,131,4,82.0,45.0,0.0,7889,822,909028.0,14.41,0.44,90.43,867.85
2A,0,2023-03-31,64,0,31.0,31.0,2.0,1936,256,157249.0,40.7,0.0,162.8,1231.17
2B,0,2023-03-31,39,2,23.0,13.0,1.0,1826,265,349465.0,11.16,0.57,75.83,522.51
30,0,2023-03-31,170,17,118.0,30.0,5.0,7269,1224,757620.0,22.44,2.24,161.56,959.45
31,0,2023-03-31,113,4,38.0,71.0,0.0,14307,1555,1389767.0,8.13,0.29,111.89,1029.45
32,0,2023-03-31,40,0,33.0,7.0,0.0,1789,266,191091.0,20.93,0.0,139.2,936.2
33,0,2023-03-31,458,48,338.0,67.0,5.0,14824,2022,1623111.0,28.22,2.96,124.58,913.31
34,0,2023-03-31,136,10,88.0,37.0,1.0,13096,1946,1144892.0,11.88,0.87,169.97,1143.86
35,0,2023-03-31,86,4,70.0,12.0,0.0,11190,1380,1069657.0,8.04,0.37,129.01,1046.13
36,0,2023-03-31,50,0,29.0,21.0,0.0,2799,440,222232.0,22.5,0.0,197.99,1259.49
37,0,2023-03-31,90,2,51.0,37.0,0.0,4965,784,616327.0,14.6,0.32,127.21,805.58
38,0,2023-03-31,197,14,121.0,61.0,1.0,16667,2710,1273068.0,15.47,1.1,212.87,1309.2
39,0,2023-03-31,62,2,45.0,15.0,0.0,4202,696,263808.0,23.5,0.76,263.83,1592.83
40,0,2023-03-31,51,2,44.0,5.0,0.0,2981,466,413936.0,12.32,0.48,112.58,720.16
41,0,2023-03-31,75,1,43.0,27.0,4.0,4128,616,336367.0,22.3,0.3,183.13,1227.23
42,0,2023-03-31,94,4,80.0,10.0,0.0,11493,1967,762941.0,12.32,0.52,257.82,1506.41
43,0,2023-03-31,15,0,14.0,1.0,0.0,3376,436,227983.0,6.58,0.0,191.24,1480.81
44,0,2023-03-31,32,2,27.0,3.0,0.0,10896,1469,1430682.0,2.24,0.14,102.68,761.59
45,0,2023-03-31,230,16,102.0,102.0,10.0,6861,1071,685346.0,33.56,2.33,156.27,1001.1
46,0,2023-03-31,7,0,6.0,1.0,0.0,1469,190,174219.0,4.02,0.0,109.06,843.19
47,0,2023-03-31,10,0,8.0,2.0,0.0,2764,473,436484.0,2.29,0.0,108.37,633.24
48,0,2023-03-31,2,0,2.0,0.0,0.0,785,164,66197.0,3.02,0.0,247.75,1185.85
49,0,2023-03-31,53,2,38.0,12.0,1.0,9334,1247,824000.0,6.43,0.24,151.33,1132.77
50,0,2023-03-31,105,1,45.0,59.0,0.0,5022,727,502924.0,20.88,0.2,144.55,998.56
51,0,2023-03-31,62,4,39.0,19.0,0.0,8311,1368,571534.0,10.85,0.7,239.36,1454.16
52,0,2023-03-31,49,2,38.0,9.0,0.0,2944,537,184130.0,26.61,1.09,291.64,1598.87
53,0,2023-03-31,9,0,8.0,1.0,0.0,3092,433,306977.0,2.93,0.0,141.05,1007.24
54,0,2023-03-31,113,6,60.0,34.0,13.0,9793,1760,733481.0,15.41,0.82,239.95,1335.14
55,0,2023-03-31,55,2,41.0,12.0,0.0,2412,504,186703.0,29.46,1.07,269.95,1291.89
56,0,2023-03-31,53,2,35.0,15.0,1.0,6670,874,753030.0,7.04,0.27,116.06,885.75
57,0,2023-03-31,244,13,180.0,47.0,4.0,14298,3339,1043522.0,23.38,1.25,319.97,1370.17
58,0,2023-03-31,24,0,17.0,7.0,0.0,2814,488,212105.0,11.32,0.0,230.07,1326.7
59,0,2023-03-31,697,23,393.0,250.0,31.0,39220,6029,2604361.0,26.76,0.88,231.5,1505.94
60,0,2023-03-31,204,3,68.0,133.0,0.0,10036,2055,824503.0,24.74,0.36,249.24,1217.22
61,0,2023-03-31,52,1,34.0,17.0,0.0,4474,620,283372.0,18.35,0.35,218.79,1578.84
62,0,2023-03-31,200,11,76.0,101.0,12.0,15980,2722,1477260.0,13.54,0.74,184.26,1081.73
63,0,2023-03-31,90,6,47.0,36.0,1.0,6936,1246,654606.0,13.75,0.92,190.34,1059.57
64,0,2023-03-31,186,8,74.0,101.0,3.0,6207,902,682372.0,27.26,1.17,132.19,909.62
65,0,2023-03-31,30,2,27.0,1.0,0.0,3980,489,232964.0,12.88,0.86,209.9,1708.42
66,0,2023-03-31,89,1,20.0,59.0,9.0,5231,910,477784.0,18.63,0.21,190.46,1094.85
67,0,2023-03-31,195,17,108.0,67.0,3.0,14471,2482,1125559.0,17.32,1.51,220.51,1285.67
68,0,2023-03-31,147,3,84.0,55.0,5.0,14424,2376,770087.0,19.09,0.39,308.54,1873.04
69,0,2023-03-31,237,9,148.0,58.0,22.0,28497,4546,1843270.0,12.86,0.49,246.63,1546.0
70,0,2023-03-31,25,2,10.0,13.0,0.0,2892,431,240164.0,10.41,0.83,179.46,1204.18
71,0,2023-03-31,107,2,71.0,28.0,6.0,9924,1568,555413.0,19.26,0.36,282.31,1786.78
72,0,2023-03-31,39,1,28.0,10.0,0.0,6780,914,566506.0,6.88,0.18,161.34,1196.81
73,0,2023-03-31,48,2,31.0,15.0,0.0,7348,1099,430692.0,11.14,0.46,255.17,1706.09
74,0,2023-03-31,88,3,53.0,30.0,2.0,10919,1596,418769.0,21.01,0.72,381.12,2607.4
75,0,2023-03-31,941,72,601.0,265.0,3.0,38907,6463,2187526.0,43.02,3.29,295.45,1778.58
76,0,2023-03-31,166,8,96.0,59.0,3.0,15801,2400,1254767.0,13.23,0.64,191.27,1259.28
77,0,2023-03-31,227,24,111.0,86.0,6.0,17720,3066,1444464.0,15.72,1.66,212.26,1226.75
78,0,2023-03-31,456,35,242.0,140.0,39.0,15811,2694,1437487.0,31.72,2.43,187.41,1099.91
79,0,2023-03-31,116,8,98.0,9.0,1.0,3289,442,375952.0,30.86,2.13,117.57,874.85
80,0,2023-03-31,148,0,67.0,79.0,2.0,5600,1229,384922.0,38.45,0.0,319.29,1454.84
81,0,2023-03-31,35,3,20.0,11.0,1.0,3699,658,387890.0,9.02,0.77,169.64,953.62
82,0,2023-03-31,21,5,9.0,7.0,0.0,2640,424,261466.0,8.03,1.91,162.16,1009.69
83,0,2023-03-31,111,4,63.0,41.0,3.0,15778,2859,1061390.0,10.46,0.38,269.36,1486.54
84,0,2023-03-31,80,2,33.0,45.0,0.0,10633,1673,550890.0,14.52,0.36,303.69,1930.15
85,0,2023-03-31,17,1,9.0,6.0,1.0,4167,583,681671.0,2.49,0.15,85.53,611.29
86,0,2023-03-31,52,1,25.0,26.0,0.0,4459,544,442370.0,11.75,0.23,122.97,1007.98
87,0,2023-03-31,22,0,20.0,2.0,0.0,2572,523,375770.0,5.85,0.0,139.18,684.46
88,0,2023-03-31,75,4,44.0,27.0,0.0,6946,1211,473946.0,15.82,0.84,255.51,1465.57
89,0,2023-03-31,95,4,56.0,35.0,0.0,5528,1017,353000.0,26.91,1.13,288.1,1566.01
