dep,population
01,643350
02,527261
03,337988
04,163915
05,141284
06,1094068
07,330854
08,273534
09,154157
10,310020
11,370260
12,279206
13,2043110
14,694002
15,144692
16,352335
17,644391
18,304256
19,241464
2A,157249
2B,349465
21,534670
22,598814
23,111664
24,415574
25,542085
26,518361
27,601843
28,433233
29,909028
30,757620
31,1389767
32,191091
33,1623111
34,1144892
35,1069657
36,222232
37,616327
38,1273068
39,263808
40,413936
41,336367
42,762941
43,227983
44,1430682
45,685346
46,174219
47,436484
48,66197
49,824000
50,502924
51,571534
52,184130
53,306977
54,733481
55,186703
56,753030
57,1043522
58,212105
59,2604361
60,824503
61,283372
62,1477260
63,654606
64,682372
65,232964
66,477784
67,1125559
68,770087
69,1843270
70,240164
71,555413
72,566506
73,430692
74,418769
75,2187526
76,1254767
77,1444464
78,1437487
79,375952
80,384922
81,387890
82,261466
83,1061390
84,550890
85,681671
86,442370
87,375770
88,473946
89,353000
90,164302
91,1296130
92,1609306
93,1623111
94,1387926
95,1228618
971,413850
972,376078
973,290691
974,882895
976,327897
