date,region,vac_statut,nb_pcr,nb_pcr_sympt,nb_pcr0,nb_pcr_sympt0,hc,hc_pcr,sc,sc_pcr,pourcent_parmi_vaccines,pcr_pourcent_omicron,pcr_sympt_pourcent_omicron,hc_pourcent_omicron,sc_pourcent_omicron,pcr_pourcent_apparie,hc_pcr_pourcent_apparie
2022-09-17,GUY,Complet - avec 1 rappel de moins de 3 mois,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.31,,,,,75.37,84.75
2022-09-17,GUY,Complet - avec 2 rappels de 6 mois ou plus,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,,,,,75.37,84.75
2022-09-17,HDF,Complet - avec 2 rappels entre 3 mois et 6 mois,359.62,33.14,23.62,12.65,3.86,2.0,0.0,0.0,3.64,,,,,89.23,90.66
2022-09-17,MAR,Complet - avec 2 rappels entre 3 mois et 6 mois,2.93,0.0,0.75,0.0,0.0,0.0,0.0,0.0,1.68,,,,,40.89,16.67
2022-09-17,MAR,Complet - avec 3 rappels de moins de 3 mois,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,,,,,40.89,16.67
2022-09-17,MAY,Non-vaccinés,15.48,0.0,0.07,0.0,0.0,0.0,0.0,0.0,,,,,,41.46,66.89
2022-09-17,MAY,Primo dose efficace,6.5,0.0,0.04,0.0,0.0,0.0,0.0,0.0,4.86,,,,,41.46,66.89
2022-09-17,NOR,Primo dose récente,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,,,,,91.8,93.78
2022-09-17,NOR,Complet - avec 1 rappel de moins de 3 mois,21.43,0.13,2.11,0.05,0.0,0.0,0.0,0.0,0.69,,,,,91.8,93.78
2022-09-17,PDL,Non-vaccinés,487.82,172.95,136.37,85.06,1.15,1.0,0.0,0.0,,,,,,87.88,88.96
2022-09-17,PDL,Complet de moins de 3 mois - sans rappel,4.88,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.1,,,,,87.88,88.96
2022-09-17,PDL,Complet - avec 1 rappel entre 3 mois et 6 mois,38.63,3.77,3.87,0.28,0.01,0.0,0.0,0.0,1.22,,,,,87.88,88.96
2022-09-18,ARA,Primo dose efficace,14.15,1.55,1.12,1.1,0.0,0.0,0.0,0.0,0.92,,,,,84.99,86.51
