date_reference,semaine_injection,code_categorie,libelle_categorie,effectif_inj_categorie,effectif_inj_toutes_categories,part_categorie,effectif_cumu_inj_categorie,effectif_cumu_inj_ttes_categorie,part_cumu_categorie,categorie,date
2023-01-01,2020-52,1,Médecin Généraliste libéral,60,340,0.173,60,340,0.173,1 - Médecin Généraliste libéral,2021-01-03
2023-01-01,2020-52,2,Spécialiste libéral,,340,,,340,,2 - Spécialiste libéral,2021-01-03
2023-01-01,2020-52,3,Médecin salarié,40,340,0.113,40,340,0.113,3 - Médecin salarié,2021-01-03
2023-01-01,2020-52,4,Pharmacien,230,340,0.693,230,340,0.693,4 - Pharmacien,2021-01-03
2023-01-01,2020-52,5,Infirmier libéral,,340,,,340,,5 - Infirmier libéral,2021-01-03
2023-01-01,2020-52,6,Infirmier salarié,,340,,,340,,6 - Infirmier salarié,2021-01-03
2023-01-01,2020-52,7,Autre,,340,,,340,,7 - Autre,2021-01-03
2023-01-01,2020-53,1,Médecin Généraliste libéral,200,1610,0.123,260,1940,0.132,1 - Médecin Généraliste libéral,2021-01-10
2023-01-01,2020-53,2,Spécialiste libéral,20,1610,0.012,20,1940,0.011,2 - Spécialiste libéral,2021-01-10
2023-01-01,2020-53,3,Médecin salarié,480,1610,0.301,520,1940,0.269,3 - Médecin salarié,2021-01-10
2023-01-01,2020-53,4,Pharmacien,820,1610,0.51,1050,1940,0.541,4 - Pharmacien,2021-01-10
2023-01-01,2020-53,5,Infirmier libéral,50,1610,0.029,50,1940,0.027,5 - Infirmier libéral,2021-01-10
2023-01-01,2020-53,6,Infirmier salarié,20,1610,0.013,20,1940,0.011,6 - Infirmier salarié,2021-01-10
2023-01-01,2020-53,7,Autre,20,1610,0.011,20,1940,0.009,7 - Autre,2021-01-10
2023-01-01,2021-01,1,Médecin Généraliste libéral,8690,43200,0.201,8940,45140,0.198,1 - Médecin Généraliste libéral,2021-01-10
2023-01-01,2021-01,2,Spécialiste libéral,1280,43200,0.03,1300,45140,0.029,2 - Spécialiste libéral,2021-01-10
2023-01-01,2021-01,3,Médecin salarié,31520,43200,0.73,32050,45140,0.71,3 - Médecin salarié,2021-01-10
2023-01-01,2021-01,4,Pharmacien,830,43200,0.019,1880,45140,0.042,4 - Pharmacien,2021-01-10
2023-01-01,2021-01,5,Infirmier libéral,20,43200,0.001,80,45140,0.002,5 - Infirmier libéral,2021-01-10
2023-01-01,2021-01,6,Infirmier salarié,420,43200,0.01,440,45140,0.01,6 - Infirmier salarié,2021-01-10
