date_reference,semaine_injection,code_categorie,libelle_categorie,effectif_inj_categorie,effectif_inj_toutes_categories,part_categorie,effectif_cumu_inj_categorie,effectif_cumu_inj_ttes_categorie,part_cumu_categorie,categorie,date
2023-01-01,2020-52,1,Centre de vaccination,280,620,0.45,280,620,0.45,1 - Centre de vaccination,2021-01-03
2023-01-01,2020-52,2,Cabinet médical / officine,50,620,0.088,50,620,0.088,2 - Cabinet médical / officine,2021-01-03
2023-01-01,2020-52,3,EHPAD / USLD,10,620,0.023,10,620,0.023,3 - EHPAD / USLD,2021-01-03
2023-01-01,2020-52,4,Domicile,,620,,,620,,4 - Domicile,2021-01-03
2023-01-01,2020-52,5,Entreprise,,620,,,620,,5 - Entreprise,2021-01-03
2023-01-01,2020-52,6,Autre,270,620,0.432,270,620,0.432,6 - Autre,2021-01-03
2023-01-01,2020-53,1,Centre de vaccination,2130,3960,0.537,2410,4580,0.525,1 - Centre de vaccination,2021-01-10
2023-01-01,2020-53,2,Cabinet médical / officine,290,3960,0.073,340,4580,0.075,2 - Cabinet médical / officine,2021-01-10
2023-01-01,2020-53,3,EHPAD / USLD,420,3960,0.106,430,4580,0.094,3 - EHPAD / USLD,2021-01-10
2023-01-01,2020-53,4,Domicile,30,3960,0.007,30,4580,0.007,4 - Domicile,2021-01-10
2023-01-01,2020-53,5,Entreprise,,3960,,,4580,,5 - Entreprise,2021-01-10
2023-01-01,2020-53,6,Autre,1100,3960,0.277,1360,4580,0.298,6 - Autre,2021-01-10
2023-01-01,2021-01,1,Centre de vaccination,8830,106270,0.083,11240,110840,0.101,1 - Centre de vaccination,2021-01-10
2023-01-01,2021-01,2,Cabinet médical / officine,11980,106270,0.113,12330,110840,0.111,2 - Cabinet médical / officine,2021-01-10
2023-01-01,2021-01,3,EHPAD / USLD,25920,106270,0.244,26360,110840,0.238,3 - EHPAD / USLD,2021-01-10
2023-01-01,2021-01,4,Domicile,50,106270,0.0,80,110840,0.001,4 - Domicile,2021-01-10
2023-01-01,2021-01,5,Entreprise,290,106270,0.003,290,110840,0.003,5 - Entreprise,2021-01-10
2023-01-01,2021-01,6,Autre,59190,106270,0.557,60550,110840,0.546,6 - Autre,2021-01-10
2023-01-01,2021-02,1,Centre de vaccination,36360,350170,0.104,47590,461020,0.103,1 - Centre de vaccination,2021-01-17
2023-01-01,2021-02,2,Cabinet médical / officine,40490,350170,0.116,52820,461020,0.115,2 - Cabinet médical / officine,2021-01-17
2023-01-01,2021-02,3,EHPAD / USLD,94660,350170,0.27,121010,461020,0.262,3 - EHPAD / USLD,2021-01-17
2023-01-01,2021-02,4,Domicile,190,350170,0.001,270,461020,0.001,4 - Domicile,2021-01-17
2023-01-01,2021-02,5,Entreprise,400,350170,0.001,690,461020,0.002,5 - Entreprise,2021-01-17
2023-01-01,2021-02,6,Autre,178080,350170,0.509,238630,461020,0.518,6 - Autre,2021-01-17
2023-01-01,2021-03,1,Centre de vaccination,254760,683190,0.373,302350,1144210,0.264,1 - Centre de vaccination,2021-01-24
2023-01-01,2021-03,2,Cabinet médical / officine,38830,683190,0.057,91650,1144210,0.08,2 - Cabinet médical / officine,2021-01-24
2023-01-01,2021-03,3,EHPAD / USLD,216560,683190,0.317,337570,1144210,0.295,3 - EHPAD / USLD,2021-01-24
2023-01-01,2021-03,4,Domicile,430,683190,0.001,700,1144210,0.001,4 - Domicile,2021-01-24
2023-01-01,2021-03,5,Entreprise,460,683190,0.001,1150,1144210,0.001,5 - Entreprise,2021-01-24
2023-01-01,2021-03,6,Autre,172160,683190,0.252,410790,1144210,0.359,6 - Autre,2021-01-24
2023-01-01,2021-04,1,Centre de vaccination,271100,595160,0.455,573450,1739370,0.33,1 - Centre de vaccination,2021-01-31
